name|Total Points Played|Total Points Won|Total Points Won %|Tot. 2nd Srv. In-pl. Pts. W. %|Total Break Points Won %|Rtn. to Svc. Points Ratio|Points per Game|Points per Set|Points per Match|Winner %|Unforced Error %|Forced Error %|Winners / UEs Ratio|Winner Against %|UE Against %|FE Against %|Wnrs. / FEs Against Ratio|Net Points %|Net Points Won %|Points Won at Net %|Net Effectiveness
Tomas Martin Etcheverry|2269|1056|46.5|45.9|46.7|0.99|6.46|61.3|141.8|21.4|15.8|40.5|1.27|43.7|36.8|41.7|0.51|8.5|63.8|11.3|1.32
Dusan Lajovic|57955|28608|49.4|49.3|49.9|0.99|6.39|62.5|159.2|27.1|21.5|46.9|1.14|31.7|24.1|48.8|0.56|6.5|59.5|8.2|1.26
Jiri Lehecka|3554|1691|47.6|47.9|51.1|0.93|6.49|62.4|154.5|28.8|27.2|45.0|0.92|27.8|29.7|41.5|0.69|12.2|61.0|15.9|1.31
Joao Sousa|69556|34209|49.2|47.9|48.1|1.01|6.45|61.8|159.9|22.8|20.6|49.3|0.91|30.1|30.1|47.1|0.48|10.6|58.2|13.7|1.29
Soon Woo Kwon|16226|8044|49.6|51.3|47.9|1.02|6.45|62.4|169.0|26.4|24.7|49.0|1.04|26.3|20.9|52.7|0.50|9.0|64.6|11.7|1.31
Jordan Thompson|31614|15563|49.2|47.9|48.7|1.00|6.35|61.7|165.5|28.0|22.5|49.7|1.10|27.8|25.8|46.2|0.61|8.6|67.5|12.3|1.44
Christian Garin|27944|13868|49.6|49.5|50.5|1.01|6.53|62.9|165.3|24.6|16.3|57.1|1.38|26.6|19.1|56.3|0.44|11.0|62.9|14.5|1.32
Ugo Humbert|23406|11695|50.0|49.5|49.8|0.99|6.40|63.6|168.4|30.9|32.7|46.4|0.87|20.9|21.9|47.2|0.66|8.3|63.9|11.1|1.33
Marton Fucsovics|37551|18876|50.3|51.2|49.3|1.02|6.55|63.4|170.7|21.7|25.0|53.0|0.84|22.0|26.7|51.6|0.42|7.8|64.5|10.2|1.31
Roman Safiullin|4074|2057|50.5|51.2|49.1|1.04|6.62|66.8|177.1|43.9|33.0|40.2|1.40|26.8|14.2|41.9|1.05|13.1|83.3|21.2|1.63
Facundo Bagnis|16486|7992|48.5|49.0|50.4|0.98|6.46|62.4|154.1|22.5|26.4|39.3|0.76|34.3|31.5|46.1|0.49|8.4|65.1|11.5|1.38
Nikoloz Basilashvili|47308|23054|48.7|51.0|48.7|0.97|6.48|62.2|158.2|31.7|38.2|39.8|0.76|22.0|22.4|45.9|0.69|6.1|65.9|8.5|1.38
Taro Daniel|25829|12432|48.1|48.9|49.6|0.97|6.41|61.1|157.5|25.7|17.9|45.0|1.37|37.1|26.3|48.0|0.54|9.3|65.3|12.4|1.34
Thanasi Kokkinakis|16633|8191|49.2|48.2|51.5|0.99|6.42|64.5|173.3|36.7|21.0|41.7|1.77|37.3|26.5|36.8|1.00|7.3|66.5|9.6|1.32
Daniel Altmaier|7733|3719|48.1|46.7|53.1|0.96|6.49|62.9|154.7|35.8|21.2|49.5|1.53|29.3|24.4|39.8|0.90|14.6|66.4|20.3|1.39
Tallon Griekspoor|8816|4259|48.3|49.0|51.5|0.96|6.40|63.9|166.3|34.7|23.1|47.5|1.39|29.4|18.9|46.4|0.75|11.3|64.1|15.1|1.34
Vasek Pospisil|47100|23274|49.4|47.8|50.5|0.97|6.32|63.4|162.4|37.4|27.8|47.2|1.32|25.0|19.0|43.6|0.86|12.5|59.8|15.1|1.21
Zhizhen Zhang|3356|1649|49.1|48.3|47.4|1.02|6.53|65.8|167.8|19.9|12.0|71.3|1.62|16.7|7.6|72.5|0.28|9.1|69.0|12.7|1.40
Alejandro Tabilo|5138|2550|49.6|49.9|49.0|0.98|6.35|59.7|138.9|37.3|27.4|36.6|1.34|35.9|25.6|37.1|1.01|13.0|57.1|14.9|1.15
Dominic Thiem|80144|41220|51.4|51.8|49.5|1.04|6.39|62.7|161.9|28.9|23.0|43.0|1.26|33.9|27.8|43.3|0.67|8.9|69.1|12.2|1.38
Radu Albot|33049|16081|48.7|50.2|47.0|0.99|6.51|62.0|164.4|24.8|20.2|41.6|1.18|38.2|29.5|45.7|0.54|9.5|68.9|13.3|1.40
Emilio Gomez|4258|2070|48.6|47.1|50.9|0.93|6.36|60.0|170.3|25.0|22.2|48.6|1.00|29.2|34.5|40.5|0.62|11.8|57.1|14.3|1.22
Denis Kudla|30724|14884|48.4|49.7|50.2|0.98|6.33|61.2|164.3|26.7|26.7|39.2|0.93|34.1|23.8|49.5|0.54|8.9|58.2|10.8|1.21
Jason Kubler|3594|1749|48.7|50.0|48.5|1.01|6.41|62.0|171.1|25.6|24.4|37.8|1.00|37.8|30.7|43.7|0.59|9.0|70.4|13.0|1.44
Hugo Gaston|7178|3478|48.5|48.1|55.3|0.93|6.67|63.5|163.1|30.7|19.8|41.8|1.41|38.4|28.5|40.8|0.75|12.3|66.5|17.1|1.39
Jiri Vesely|47123|23457|49.8|49.7|50.4|1.00|6.34|62.8|162.5|34.8|18.0|45.3|1.96|36.7|16.8|48.4|0.72|10.6|67.2|14.1|1.33
Steve Johnson|62503|31075|49.7|49.2|50.7|0.97|6.33|63.0|161.9|37.2|25.6|42.8|1.43|31.6|20.4|42.4|0.88|9.3|70.1|13.2|1.42
Michael Mmoh|6137|2917|47.5|45.7|48.9|0.97|6.35|60.2|170.5|36.8|31.5|38.2|1.14|30.3|29.9|33.3|1.10|13.1|47.8|12.6|0.97
Alexei Popyrin|17519|8564|48.9|48.4|50.3|0.98|6.44|65.1|168.5|33.8|27.5|43.1|1.14|29.4|21.7|44.6|0.76|13.4|57.7|16.0|1.20
Pablo Andujar|60747|29722|48.9|50.5|48.9|1.00|6.57|61.7|154.2|25.9|24.8|34.7|0.99|40.6|26.1|48.0|0.54|8.2|66.2|11.2|1.36
Jurij Rodionov|3679|1777|48.3|48.3|52.9|0.92|6.48|65.7|153.3|23.4|17.8|43.8|1.15|38.4|25.0|51.6|0.45|14.6|65.0|20.3|1.39
Christopher Eubanks|4773|2292|48.0|45.7|51.9|0.98|6.19|62.0|164.6|41.6|29.3|43.5|1.34|27.2|16.1|42.3|0.98|10.9|54.8|12.3|1.13
Fernando Verdasco|159370|81301|51.0|51.9|50.8|1.03|6.42|62.1|162.0|22.7|23.6|53.7|0.98|22.7|32.9|44.4|0.51|6.1|64.0|7.7|1.27
Federico Delbonis|55564|27540|49.6|51.0|50.4|1.00|6.47|63.2|158.3|30.6|30.9|42.2|0.77|26.9|32.2|37.3|0.82|6.7|62.8|9.6|1.44
Elias Ymer|13241|6418|48.5|48.2|48.0|0.99|6.49|63.7|161.5|29.8|27.2|42.7|1.07|30.1|29.8|40.4|0.74|10.6|65.3|14.0|1.32
Jack Sock|51543|25820|50.1|51.2|50.7|1.00|6.29|62.0|162.1|32.2|32.3|33.7|0.96|34.0|29.0|38.8|0.83|12.6|64.3|16.5|1.31
Hugo Dellien|8689|4169|48.0|47.3|48.6|0.99|6.61|62.5|155.2|17.7|15.6|42.9|0.92|41.6|30.6|51.6|0.34|0.0|0.0|0.0|0.00
Jozef Kovalik|10864|5214|48.0|48.5|50.5|0.97|6.49|62.8|162.1|19.9|22.6|48.0|0.75|29.4|25.5|54.6|0.36|9.8|58.7|12.5|1.27
Gilles Simon|140174|71111|50.7|51.9|51.1|1.00|6.53|62.6|160.9|23.2|14.3|43.6|1.62|42.1|32.4|44.4|0.52|10.2|67.9|13.9|1.36
John Millman|42364|21101|49.8|50.8|50.6|0.98|6.45|62.6|163.6|22.9|24.8|45.0|0.90|30.2|29.2|47.9|0.48|7.1|71.1|10.3|1.44
Stan Wawrinka|140387|72063|51.3|51.6|50.6|1.01|6.43|63.3|170.4|33.2|19.2|46.6|1.67|34.2|18.9|47.9|0.69|10.6|64.3|13.8|1.31
Jan Lennard Struff|59235|29546|49.9|49.6|48.5|1.01|6.42|63.0|162.3|32.1|25.0|46.2|1.28|28.7|19.0|49.0|0.66|14.3|61.9|17.7|1.24
Nicolas Jarry|19680|9726|49.4|48.1|50.7|0.97|6.34|63.7|169.7|35.0|21.7|60.1|1.57|18.2|11.2|53.8|0.65|12.0|62.5|15.2|1.27
James Duckworth|23668|11500|48.6|48.8|52.2|0.95|6.42|63.5|176.6|32.3|20.7|44.3|1.53|35.0|22.9|44.8|0.72|12.5|64.8|16.3|1.31
Liam Broady|5094|2412|47.3|48.1|48.3|0.91|6.38|58.6|159.2|25.8|23.7|38.5|1.01|37.8|31.8|42.4|0.61|12.5|71.7|18.7|1.49
Carlos Taberner|4934|2395|48.5|49.7|50.4|0.97|6.29|58.7|149.5|17.2|14.8|52.7|1.04|32.4|27.6|55.2|0.31|7.8|59.3|9.8|1.25
Ricardas Berankis|40127|19674|49.0|50.5|48.2|0.99|6.44|62.3|163.1|30.5|25.6|49.5|1.13|24.9|14.3|55.1|0.55|9.2|65.7|12.4|1.35
Henri Laaksonen|18116|8863|48.9|49.1|49.1|1.00|6.56|63.1|167.7|32.7|36.9|36.4|0.71|26.6|26.0|41.2|0.79|5.6|60.5|7.6|1.36
Benoit Paire|87280|42975|49.2|48.2|50.0|0.98|6.59|64.0|165.6|43.6|39.7|35.5|0.88|24.8|20.1|36.3|1.20|13.9|65.9|20.6|1.48
Dennis Novak|11354|5481|48.3|49.4|48.0|0.98|6.40|61.7|162.2|29.1|23.6|51.0|1.08|25.5|19.8|51.1|0.57|9.5|51.4|10.4|1.10
Renzo Olivo|9075|4389|48.4|49.3|48.4|0.99|6.64|64.4|165.0|22.4|37.8|45.1|0.48|17.1|37.3|40.3|0.56|6.7|90.0|13.4|2.00
Mikhail Kukushkin|60059|29347|48.9|50.3|51.4|0.97|6.48|62.4|161.0|24.1|26.5|41.2|0.78|32.4|27.6|48.3|0.50|6.3|87.5|12.1|1.90
Dimitar Kuzmanov|2374|1157|48.7|49.5|52.6|0.92|6.49|60.9|158.3|22.5|14.0|50.0|1.50|36.0|47.5|30.0|0.75|12.0|85.0|21.3|1.76
Stefan Kozlov|4497|2098|46.7|48.5|49.1|0.97|6.48|59.2|136.3|23.5|27.1|40.4|0.83|32.5|35.0|41.5|0.57|10.8|61.3|13.5|1.25
Dominik Koepfer|14096|6896|48.9|50.2|51.3|0.97|6.47|62.9|171.9|27.3|30.9|38.8|0.82|30.3|35.3|37.4|0.73|11.1|57.6|13.2|1.19
Gianluca Mager|9611|4693|48.8|48.5|53.2|0.98|6.37|62.4|165.7|27.6|21.2|54.1|1.17|24.7|17.5|54.9|0.50|9.0|65.4|12.4|1.38
Mitchell Krueger|3376|1581|46.8|48.0|47.5|0.99|6.24|59.2|140.7|23.3|21.3|38.1|1.15|40.6|33.1|43.6|0.54|12.0|63.3|14.8|1.23
Lukas Rosol|43257|21124|48.8|49.0|51.3|0.95|6.40|62.4|162.0|11.1|27.1|42.4|0.25|30.5|19.4|69.4|0.16|4.2|0.0|0.0|0.00
Marco Trungelliti|5956|2881|48.4|48.9|50.4|0.99|6.53|63.4|186.1|3.0|2.5|90.1|1.00|7.4|6.0|91.0|0.03|0.0|0.0|0.0|0.00
Ernesto Escobedo|8871|4312|48.6|49.6|48.3|0.96|6.34|61.2|161.3|19.8|27.8|27.8|0.70|44.4|34.9|45.3|0.44|6.1|84.6|10.4|1.71
Peter Gojowczyk|26202|12846|49.0|49.1|50.1|0.98|6.38|61.5|156.9|33.3|34.2|37.5|0.96|28.3|28.3|38.3|0.87|11.0|62.0|13.7|1.25
Lloyd George Muirhead Harris|19958|9924|49.7|47.3|51.0|1.00|6.26|60.3|154.7|33.4|27.5|48.2|1.16|24.3|25.1|41.5|0.80|8.2|61.8|10.3|1.27
Tennys Sandgren|20140|9822|48.8|47.6|50.2|0.97|6.35|62.5|166.4|31.3|29.2|40.2|0.95|30.6|27.8|40.9|0.76|11.6|67.2|16.6|1.43
Pablo Cuevas|67827|34011|50.1|50.3|50.2|1.01|6.36|62.1|156.3|35.2|43.6|44.9|0.74|11.5|23.9|40.8|0.86|7.4|63.6|9.9|1.34
Egor Gerasimov|16438|8194|49.8|49.4|48.6|0.98|6.47|63.7|164.4|18.8|24.9|51.8|0.69|23.3|25.5|55.7|0.34|7.7|79.5|12.8|1.66
Salvatore Caruso|10209|4863|47.6|49.4|48.6|0.98|6.55|62.6|162.0|14.9|16.3|42.4|0.87|41.3|39.1|46.0|0.33|8.4|80.0|13.8|1.65
Pierre Hugues Herbert|36696|18093|49.3|48.9|51.1|0.96|6.36|63.8|166.8|35.1|34.4|50.0|0.95|15.6|14.0|50.9|0.69|23.7|71.4|35.1|1.48
Stefano Travaglia|13911|6780|48.7|47.5|49.0|0.95|6.46|64.4|167.6|31.6|33.3|43.1|0.75|23.6|30.7|37.7|0.84|4.7|75.0|7.9|1.70
Sam Querrey|112893|57185|50.7|48.6|49.0|1.01|6.26|62.9|162.7|46.5|26.5|39.3|1.71|34.2|18.0|35.5|1.31|11.5|57.0|13.3|1.16
Aljaz Bedene|46070|22756|49.4|48.3|49.0|1.01|6.37|62.7|161.1|52.4|38.1|31.7|0.92|30.2|14.3|33.3|1.57|5.7|83.3|11.9|2.08
Andreas Seppi|126840|63046|49.7|49.8|50.2|1.01|6.44|62.9|163.5|30.3|42.9|34.1|0.66|23.0|37.6|32.1|0.95|9.3|66.7|12.8|1.38
Marius Copil|22100|10863|49.2|48.3|49.8|0.99|6.26|62.6|160.1|35.2|15.7|45.1|2.00|39.2|23.1|41.8|0.84|19.7|65.8|27.5|1.40
Cem Ilkel|3884|1775|45.7|46.0|47.9|0.95|6.42|60.7|161.8|25.7|16.8|44.5|1.26|38.7|22.1|52.2|0.49|6.4|62.5|8.8|1.38
Mirza Basic|9722|4704|48.4|47.6|51.4|0.96|6.31|62.3|159.4|5.6|2.4|90.4|2.00|7.2|1.4|93.1|0.06|0.0|0.0|0.0|0.00
Jo Wilfried Tsonga|110914|57453|51.8|49.7|51.7|1.02|6.26|62.1|162.6|34.7|23.0|46.8|1.14|30.2|24.2|41.1|0.85|8.6|63.2|12.6|1.47
Kei Nishikori|99602|51239|51.4|53.0|49.6|1.03|6.45|61.5|160.1|37.6|28.0|44.4|1.40|27.5|22.8|39.6|0.95|13.2|72.5|18.8|1.42
Kevin Anderson|98895|50509|51.1|49.5|50.0|1.02|6.28|63.6|165.9|38.2|34.6|37.0|1.03|28.5|21.3|40.5|0.94|15.4|56.2|18.0|1.17
Feliciano Lopez|159777|79216|49.6|48.2|51.1|0.99|6.29|63.2|164.5|43.8|23.2|49.8|1.70|27.0|20.2|36.1|1.21|25.4|64.8|34.8|1.37
Philipp Kohlschreiber|130926|66520|50.8|51.4|50.8|1.02|6.36|61.8|155.7|36.7|35.1|40.3|0.85|24.6|28.4|34.9|1.05|9.1|36.4|7.3|0.81
Kyle Edmund|37399|18810|50.3|50.6|50.2|0.99|6.34|62.0|160.5|31.2|39.2|35.9|0.68|24.9|30.6|38.2|0.82|9.2|54.1|10.8|1.17
Guido Pella|43544|21653|49.7|50.7|50.0|1.00|6.48|63.5|170.1|27.3|23.8|36.0|1.02|40.1|33.1|39.6|0.69|12.9|40.5|11.0|0.86
Denis Istomin|72342|35968|49.7|48.1|50.5|1.00|6.38|62.7|159.3|27.5|22.5|32.5|1.03|45.0|26.8|45.8|0.60|7.7|66.7|11.3|1.46
