name|Serve Max Speed|1st Serve Average Speed|2nd Serve Average Speed|Serve Average Speed|1st / 2nd Srv. Spd. Ratio|Srv. Max / Avg. Spd. Ratio
Federico Delbonis|201|172|141|163|1.22|1.23
Elias Ymer|206|186|159|178|1.17|1.16
Jack Sock|218|185|157|176|1.18|1.24
Hugo Dellien|195|156|114|147|1.37|1.33
Jozef Kovalik|193|177|152|169|1.16|1.14
Gilles Simon|197|170|132|158|1.29|1.25
John Millman|204|183|143|172|1.28|1.19
Stan Wawrinka|219|194|154|182|1.26|1.20
Jan Lennard Struff|223|200|162|188|1.23|1.19
Nicolas Jarry|218|197|164|188|1.20|1.16
James Duckworth|226|189|152|177|1.24|1.28
Liam Broady|203|178|142|168|1.25|1.21
Carlos Taberner|206|196|151|183|1.30|1.13
Ricardas Berankis|200|182|154|173|1.18|1.16
Henri Laaksonen|209|186|151|175|1.23|1.19
Benoit Paire|210|191|146|176|1.31|1.19
Dennis Novak|209|190|151|179|1.26|1.17
Renzo Olivo|197|158|131|150|1.21|1.31
Mikhail Kukushkin|197|181|135|168|1.34|1.17
Dimitar Kuzmanov|199|188|158|179|1.19|1.11
Stefan Kozlov|205|162|128|152|1.27|1.35
Dominik Koepfer|213|177|156|171|1.13|1.25
Gianluca Mager|220|195|159|184|1.23|1.20
Mitchell Krueger|229|197|154|185|1.28|1.24
Lukas Rosol|199|186|165|179|1.13|1.11
Ernesto Escobedo|209|185|147|173|1.26|1.21
Peter Gojowczyk|226|188|150|176|1.25|1.28
Lloyd George Muirhead Harris|216|193|150|181|1.29|1.19
Tennys Sandgren|215|183|155|175|1.18|1.23
Pablo Cuevas|192|174|149|166|1.17|1.16
Egor Gerasimov|207|167|131|157|1.27|1.32
Salvatore Caruso|201|186|146|174|1.27|1.16
Pierre Hugues Herbert|215|197|165|187|1.19|1.15
Stefano Travaglia|211|186|147|173|1.27|1.22
Sam Querrey|217|195|160|184|1.22|1.18
Aljaz Bedene|200|188|142|174|1.32|1.15
Andreas Seppi|197|178|142|167|1.25|1.18
Marius Copil|231|211|167|197|1.26|1.17
Cem Ilkel|206|187|152|176|1.23|1.17
Jo Wilfried Tsonga|224|196|147|182|1.33|1.23
Kei Nishikori|195|171|141|162|1.21|1.20
Kevin Anderson|227|198|173|191|1.14|1.19
Feliciano Lopez|228|205|162|192|1.27|1.19
Philipp Kohlschreiber|199|175|145|166|1.21|1.20
Kyle Edmund|214|193|154|181|1.25|1.18
Guido Pella|208|180|149|171|1.21|1.22
Denis Istomin|197|180|147|171|1.22|1.15
