name|1st Serve %|1st Serve Won %|2nd Serve Won %|1st Serve Effectiveness|Serve Rating|Service Points Won %|Svc. In-play Pts. Won %|Points per Service Game|Pts. Lost per Svc. Game|Break Points Saved %|BPs per Svc. Game|BPs Faced per Set|BPs Faced per Match|Service Games Won %|Svc. Gms. Lost per Set|Svc. Gms. Lost per Match
Harold Solomon|53.3|56.3|21.4|2.63|203|40.0|41.4|6.67|4.00|53.3|1.67|7.50|15.0|22.2|3.50|7.0
Sergi Bruguera|59.0|69.7|50.7|1.38|317|61.9|61.4|6.47|2.47|59.2|0.59|2.76|6.8|75.9|1.13|2.8
Jo Wilfried Tsonga|62.0|77.7|52.8|1.47|356|68.2|66.1|6.18|1.96|67.0|0.40|1.97|5.2|87.0|0.65|1.7
Kei Nishikori|61.4|70.3|53.1|1.32|326|63.7|64.3|6.39|2.32|60.9|0.52|2.45|6.4|79.8|0.96|2.5
David Nalbandian|59.1|69.4|52.3|1.33|318|62.4|63.3|6.41|2.41|59.3|0.56|2.66|7.0|77.3|1.08|2.8
Alex Corretja|57.5|69.6|52.2|1.33|318|62.2|62.3|6.47|2.44|59.9|0.58|2.81|7.1|76.6|1.12|2.9
Johan Kriek|53.2|72.0|44.9|1.60|303|59.3|61.6|6.88|2.80|62.2|0.74|3.60|8.2|71.9|1.36|3.1
Tommy Haas|58.5|74.3|52.0|1.43|332|65.0|65.2|6.30|2.20|62.1|0.48|2.36|6.0|81.7|0.90|2.3
Thomas Enqvist|54.8|75.7|49.6|1.53|323|63.9|64.2|6.43|2.32|59.6|0.50|2.43|6.2|79.7|0.98|2.5
Andres Gomez|56.1|71.3|47.3|1.51|313|60.8|60.6|6.73|2.64|60.2|0.63|3.10|7.7|74.8|1.23|3.1
Petr Korda|58.7|71.7|48.4|1.48|317|62.1|63.9|6.61|2.51|61.4|0.58|2.79|7.2|77.6|1.07|2.8
Milos Raonic|62.9|81.5|55.2|1.48|376|71.7|68.3|5.98|1.69|69.6|0.29|1.48|3.8|91.2|0.45|1.2
Tim Henman|57.7|74.5|50.8|1.47|330|64.5|64.7|6.41|2.28|62.8|0.51|2.45|6.5|81.2|0.91|2.4
Guillermo Coria|63.0|68.0|50.1|1.36|314|61.4|63.1|6.41|2.48|58.6|0.60|2.79|7.1|75.2|1.15|2.9
