name|1st Serve %|1st Serve Won %|2nd Serve Won %|1st Serve Effectiveness|Serve Rating|Service Points Won %|Svc. In-play Pts. Won %|Points per Service Game|Pts. Lost per Svc. Game|Break Points Saved %|BPs per Svc. Game|BPs Faced per Set|BPs Faced per Match|Service Games Won %|Svc. Gms. Lost per Set|Svc. Gms. Lost per Match
John Fitzgerald|61.8|67.7|47.7|1.42|303|60.1|62.3|6.60|2.63|56.5|0.66|3.12|7.7|71.4|1.36|3.4
Martin Klizan|58.5|68.9|49.5|1.39|314|60.8|61.4|6.58|2.58|61.1|0.65|3.11|8.0|74.9|1.21|3.1
Michael Llodra|62.2|73.5|51.1|1.44|336|65.0|64.2|6.30|2.20|62.1|0.49|2.43|6.0|81.2|0.92|2.3
Thierry Tulasne|55.3|61.3|35.4|1.73|249|49.8|52.6|7.68|3.86|55.9|1.21|5.67|11.3|46.4|2.50|5.0
Jan Siemerink|56.3|74.9|50.6|1.48|330|64.3|65.1|6.56|2.34|64.7|0.53|2.59|6.7|81.5|0.92|2.3
Arnaud Boetsch|56.9|71.2|50.5|1.41|317|62.3|63.0|6.53|2.46|60.4|0.57|2.74|6.7|77.3|1.08|2.7
Mariano Puerta|65.1|68.7|51.5|1.33|325|62.7|62.5|6.34|2.37|60.1|0.57|2.69|6.6|77.3|1.07|2.6
Mariano Zabaleta|57.5|69.7|50.3|1.39|313|61.4|62.2|6.53|2.52|59.0|0.60|2.91|7.2|75.2|1.19|3.0
Slobodan Zivojinovic|56.7|76.1|54.8|1.39|354|66.9|64.1|6.60|2.19|69.4|0.43|2.13|5.4|86.7|0.65|1.7
Todd Woodbridge|59.1|68.8|47.4|1.45|305|60.0|62.0|6.70|2.68|58.2|0.63|3.02|7.8|73.7|1.26|3.3
Goran Prpic|71.5|63.8|48.3|1.32|309|59.4|60.1|6.49|2.63|54.7|0.65|3.08|7.9|70.5|1.39|3.6
Dmitry Tursunov|57.3|72.7|50.5|1.44|327|63.2|62.9|6.48|2.38|62.7|0.56|2.75|7.2|79.2|1.02|2.7
Luiz Mattar|57.7|69.3|51.0|1.36|319|61.5|60.4|6.55|2.52|61.1|0.63|2.98|7.3|75.7|1.16|2.8
Albert Montanes|60.4|69.0|49.5|1.40|312|61.3|62.2|6.44|2.49|58.2|0.61|2.86|7.0|74.5|1.19|2.9
Javier Sanchez|65.6|66.9|48.5|1.38|313|60.6|61.3|6.56|2.59|58.1|0.63|2.99|7.4|73.7|1.25|3.1
Carl Uwe Steeb|59.3|66.7|50.6|1.32|309|60.1|60.0|6.60|2.63|57.7|0.62|2.93|7.2|73.7|1.24|3.1
Jan Michael Gambill|55.8|76.6|49.7|1.54|336|64.7|62.2|6.48|2.29|63.6|0.52|2.56|6.3|81.2|0.93|2.3
Robby Ginepri|62.4|69.4|52.2|1.33|324|62.9|62.0|6.34|2.35|58.1|0.53|2.57|6.6|77.7|1.08|2.8
Agustin Calleri|55.4|74.5|50.1|1.49|324|63.6|63.1|6.38|2.32|60.4|0.53|2.58|6.5|78.8|1.02|2.6
Andrei Cherkasov|60.1|65.9|49.1|1.34|304|59.2|59.8|6.67|2.72|57.7|0.69|3.28|8.2|70.9|1.39|3.5
Florian Mayer|61.8|69.0|50.0|1.38|318|61.7|61.0|6.40|2.45|57.9|0.58|2.72|6.7|75.7|1.14|2.8
Hicham Arazi|57.2|68.7|50.4|1.36|312|60.9|60.5|6.53|2.56|59.2|0.63|2.96|7.6|74.3|1.21|3.1
Marcelo Filippini|66.2|63.8|50.0|1.28|308|59.1|59.7|6.55|2.68|57.9|0.71|3.31|7.9|70.3|1.39|3.3
Bernard Tomic|66.3|71.1|49.9|1.43|339|63.9|61.6|6.52|2.35|63.6|0.53|2.64|6.9|80.7|0.96|2.5
Jacco Eltingh|62.1|73.4|48.4|1.51|330|63.9|63.5|6.58|2.37|62.1|0.53|2.63|6.7|79.8|1.00|2.5
Marcel Granollers|61.1|68.7|49.4|1.39|313|61.2|61.0|6.37|2.47|56.8|0.60|2.82|7.1|74.1|1.22|3.1
Paul Henri Mathieu|55.0|71.8|51.6|1.39|319|62.7|62.9|6.47|2.41|60.0|0.55|2.67|6.7|78.2|1.07|2.7
Richard Fromberg|58.8|74.1|47.7|1.55|326|63.2|62.2|6.62|2.44|61.2|0.56|2.74|7.1|78.3|1.06|2.8
Taylor Dent|57.1|75.2|49.0|1.54|323|63.9|65.5|6.37|2.30|60.4|0.52|2.51|6.3|79.6|1.00|2.5
Fernando Meligeni|56.6|68.9|49.1|1.40|306|60.3|61.1|6.57|2.61|58.4|0.65|3.07|7.7|73.1|1.28|3.2
Franco Squillari|57.0|68.3|47.5|1.44|302|59.3|61.2|6.61|2.69|58.6|0.68|3.21|7.9|72.0|1.33|3.3
Igor Andreev|62.4|70.5|52.3|1.35|327|63.6|63.5|6.36|2.31|59.6|0.51|2.46|6.3|79.5|0.99|2.6
Joachim Johansson|62.1|79.4|52.9|1.50|367|69.3|66.9|6.25|1.92|70.2|0.35|1.76|4.3|89.7|0.53|1.3
Jose Acasuso|54.2|72.3|50.6|1.43|319|62.4|61.9|6.43|2.42|60.3|0.57|2.70|6.4|77.5|1.07|2.6
Paul Annacone|55.2|71.3|46.5|1.54|310|60.2|61.1|6.89|2.74|62.0|0.69|3.41|9.2|73.7|1.30|3.5
Peter Lundgren|52.2|69.2|49.0|1.41|301|59.5|60.7|6.54|2.65|57.2|0.63|3.01|7.5|72.9|1.29|3.2
Richey Reneberg|55.8|71.2|50.9|1.40|316|62.2|62.0|6.51|2.46|58.9|0.57|2.72|6.9|76.6|1.12|2.8
Viktor Troicki|60.8|72.4|47.4|1.53|324|62.6|60.6|6.40|2.39|59.7|0.57|2.75|6.9|76.9|1.11|2.8
Bernd Karbacher|53.9|70.5|48.4|1.46|308|60.4|59.9|6.72|2.66|58.8|0.66|3.16|8.1|73.0|1.30|3.3
Byron Black|60.4|67.7|50.5|1.34|313|60.9|61.3|6.57|2.57|58.8|0.62|2.93|7.3|74.3|1.21|3.0
David Pate|61.0|67.5|47.1|1.44|308|59.6|59.3|6.59|2.66|58.1|0.68|3.13|8.0|71.7|1.31|3.4
Martin Verkerk|59.5|76.2|50.6|1.51|341|65.8|64.3|6.35|2.17|63.2|0.48|2.39|6.2|82.5|0.88|2.3
Paul Haarhuis|60.0|69.7|50.4|1.38|320|62.0|61.6|6.57|2.50|60.6|0.59|2.83|7.2|76.7|1.11|2.8
Vincent Spadea|57.8|67.9|51.2|1.33|312|60.8|61.2|6.55|2.56|59.8|0.65|3.13|7.9|73.9|1.26|3.2
Albert Portas|57.3|67.9|46.4|1.46|299|58.7|59.4|6.62|2.73|56.5|0.69|3.22|8.0|70.0|1.40|3.5
Guillermo Garcia Lopez|58.7|69.2|48.8|1.42|309|60.8|62.2|6.53|2.56|58.7|0.62|2.98|7.6|74.3|1.23|3.1
Thomaz Bellucci|58.1|70.5|51.2|1.38|319|62.4|62.1|6.42|2.41|59.1|0.57|2.75|7.2|76.8|1.12|2.9
Andrea Gaudenzi|61.8|66.5|48.1|1.38|304|59.5|61.0|6.58|2.67|57.3|0.66|3.10|7.7|71.6|1.32|3.3
Bohdan Ulihrach|57.4|68.0|48.5|1.40|304|59.7|61.0|6.61|2.66|58.2|0.66|3.09|7.6|72.3|1.29|3.2
Kenneth Carlsen|58.2|75.0|50.2|1.49|335|64.6|63.7|6.49|2.30|64.0|0.52|2.51|6.3|81.4|0.90|2.3
Ronald Agenor|64.2|64.6|48.2|1.34|305|58.8|58.5|6.63|2.73|57.0|0.70|3.36|8.4|69.9|1.44|3.6
Slava Dosedel|64.8|64.4|48.8|1.32|305|58.9|59.6|6.62|2.72|56.6|0.68|3.25|8.1|70.3|1.41|3.5
Xavier Malisse|56.8|73.1|50.9|1.44|325|63.5|61.9|6.29|2.30|59.6|0.54|2.60|6.5|78.2|1.05|2.6
Darren Cahill|59.8|71.0|49.5|1.43|320|62.3|62.9|6.54|2.46|60.3|0.53|2.60|6.9|78.8|1.03|2.7
Filip Dewulf|55.5|71.0|47.5|1.50|308|60.5|62.1|6.67|2.63|59.6|0.63|2.99|7.6|74.6|1.21|3.1
Jarkko Nieminen|65.4|67.7|50.5|1.34|321|61.8|61.9|6.49|2.48|60.3|0.60|2.89|7.4|76.2|1.14|2.9
Leonardo Mayer|61.0|73.5|52.5|1.40|334|65.3|65.4|6.30|2.19|61.8|0.48|2.35|6.1|81.8|0.90|2.3
Renzo Furlan|59.2|67.2|49.5|1.36|306|60.0|59.7|6.54|2.62|56.7|0.65|3.02|7.5|72.0|1.31|3.3
Roberto Carretero|69.1|63.6|46.0|1.38|299|58.2|60.6|6.65|2.78|54.6|0.67|3.18|7.8|69.5|1.45|3.5
Horacio De La Pena|69.3|60.5|49.2|1.23|300|57.0|57.3|6.60|2.83|54.2|0.73|3.33|7.9|66.5|1.53|3.6
Nicolas Mahut|60.8|73.3|50.4|1.45|332|64.3|63.6|6.35|2.27|61.5|0.49|2.46|6.3|81.0|0.95|2.4
Sergiy Stakhovsky|61.8|71.6|49.5|1.45|327|63.1|62.1|6.45|2.38|60.7|0.55|2.68|6.9|78.5|1.05|2.7
Fernando Vicente|60.0|66.0|48.6|1.36|303|59.0|59.6|6.60|2.71|57.6|0.70|3.28|8.4|70.3|1.39|3.6
Franco Davin|69.9|60.9|46.2|1.32|295|56.5|57.2|6.63|2.88|53.9|0.76|3.55|8.7|65.0|1.64|4.0
Kelly Evernden|58.1|68.5|53.5|1.28|318|62.2|62.0|6.42|2.43|59.2|0.57|2.76|6.8|76.6|1.13|2.8
Nicklas Kulti|56.6|72.1|48.4|1.49|315|61.8|61.9|6.56|2.50|59.3|0.59|2.78|7.2|76.1|1.13|2.9
Paolo Cane|50.9|71.0|49.2|1.44|308|60.3|59.1|6.53|2.60|58.7|0.63|3.01|7.3|73.9|1.24|3.0
Stefan Koubek|59.9|66.1|50.8|1.30|307|60.0|60.6|6.45|2.58|57.6|0.66|3.16|8.0|71.9|1.34|3.4
Dan Goldie|51.8|69.2|47.0|1.47|294|58.5|62.8|7.01|2.91|60.3|0.74|3.63|9.3|70.5|1.44|3.7
Davide Sanguinetti|56.2|70.1|47.6|1.47|309|60.3|59.3|6.63|2.63|58.2|0.64|3.07|7.8|73.2|1.28|3.3
Gilles Muller|61.3|78.0|50.1|1.56|353|67.2|64.3|6.30|2.06|66.5|0.45|2.31|5.9|84.9|0.77|2.0
Karim Alami|56.2|70.7|47.8|1.48|308|60.7|60.7|6.57|2.58|58.0|0.63|2.97|7.3|73.7|1.25|3.1
Kyle Edmund|59.7|72.9|52.1|1.40|332|64.5|64.0|6.32|2.24|62.3|0.50|2.45|6.4|81.2|0.93|2.4
Derrick Rostagno|61.2|70.9|47.5|1.49|318|61.8|61.8|6.61|2.52|59.5|0.58|2.79|7.2|76.7|1.13|2.9
Jan Gunnarsson|48.0|70.6|45.4|1.55|288|57.5|56.8|6.56|2.79|54.9|0.74|3.35|8.1|66.7|1.51|3.6
Patrick McEnroe|60.8|66.6|49.1|1.36|310|59.8|60.6|6.76|2.72|60.7|0.68|3.26|8.4|73.3|1.28|3.3
Jerzy Janowicz|62.0|74.7|49.2|1.52|337|65.0|65.1|6.37|2.23|63.7|0.50|2.47|6.8|81.9|0.90|2.5
Julien Benneteau|64.3|69.4|48.7|1.42|321|62.0|61.8|6.41|2.44|58.6|0.57|2.72|7.0|76.4|1.13|2.9
Alberto Martin|61.1|65.4|49.3|1.33|301|59.1|60.9|6.51|2.66|57.2|0.70|3.25|7.8|70.2|1.39|3.4
David Prinosil|51.2|74.6|46.8|1.60|311|61.0|61.4|6.65|2.59|59.8|0.61|2.92|7.4|75.4|1.17|3.0
Javier Frana|61.6|73.0|51.3|1.42|336|64.6|63.2|6.50|2.30|63.6|0.53|2.57|6.7|80.8|0.94|2.4
Mike Bauer|52.6|61.0|35.1|1.74|247|48.7|53.6|6.50|3.33|57.1|1.17|4.67|14.0|50.0|2.00|6.0
Pedro Rebolledo|70.4|53.7|40.2|1.34|261|49.7|50.6|7.06|3.55|48.6|0.97|4.19|9.9|50.0|2.15|5.1
Victor Estrella|64.8|66.9|49.8|1.34|315|60.9|61.0|6.52|2.55|58.0|0.62|2.96|7.4|74.0|1.24|3.1
Christo Van Rensburg|57.8|71.0|47.3|1.50|304|61.0|64.7|6.53|2.55|57.9|0.62|2.96|7.6|74.0|1.25|3.2
Filippo Volandri|68.5|61.9|48.5|1.28|299|57.7|59.3|6.60|2.79|55.4|0.73|3.36|7.9|67.4|1.50|3.5
Jerome Golmard|59.1|71.2|50.5|1.41|322|62.7|63.2|6.46|2.41|60.3|0.54|2.62|6.3|78.4|1.04|2.5
Jim Grabb|65.8|72.3|46.3|1.56|329|63.4|63.3|6.49|2.37|61.4|0.53|2.58|6.5|79.5|1.00|2.5
Marc Kevin Goellner|51.9|78.6|48.0|1.64|326|63.9|62.6|6.66|2.41|61.0|0.52|2.55|6.4|79.7|1.00|2.5
Omar Camporese|51.0|73.5|49.5|1.49|315|61.7|61.0|6.57|2.51|61.0|0.61|2.89|7.4|76.4|1.13|2.9
Steve Darcis|60.9|69.1|50.6|1.37|318|61.9|61.5|6.46|2.46|59.0|0.59|2.84|7.2|75.9|1.17|2.9
Andreas Vinciguerra|59.1|69.6|49.5|1.41|321|61.4|61.4|6.65|2.57|64.1|0.66|3.10|7.6|76.3|1.11|2.7
Galo Blanco|55.4|68.6|49.1|1.40|307|59.9|59.9|6.65|2.67|59.1|0.67|3.22|7.8|72.4|1.32|3.2
Gilbert Schaller|75.7|60.8|48.5|1.25|308|57.8|57.9|6.56|2.77|55.2|0.72|3.38|8.2|67.7|1.52|3.7
Guido Pella|65.1|68.7|51.2|1.34|327|62.6|62.1|6.45|2.41|62.0|0.60|2.95|7.9|77.2|1.12|3.0
Jeremy Chardy|60.2|74.0|49.5|1.50|332|64.3|64.0|6.40|2.29|62.7|0.52|2.57|6.6|80.6|0.96|2.4
Mikael Tillstrom|59.1|68.7|48.8|1.41|311|60.6|61.1|6.72|2.65|59.1|0.64|3.05|8.3|73.9|1.25|3.4
Christian Bergstrom|65.2|64.7|49.9|1.30|311|59.5|59.8|6.69|2.71|58.0|0.64|3.04|7.6|72.9|1.28|3.2
Michiel Schapers|67.2|69.8|49.2|1.42|326|63.0|63.8|6.46|2.39|59.9|0.53|2.56|6.8|78.9|1.03|2.7
Andrei Olhovskiy|56.2|74.8|47.7|1.57|321|62.9|62.7|6.64|2.46|60.1|0.55|2.70|6.9|77.9|1.08|2.8
Andrew Ilie|54.0|69.1|49.6|1.39|308|60.1|60.3|6.70|2.67|59.9|0.65|3.12|8.2|74.0|1.25|3.3
Bryan Shelton|58.1|74.9|49.3|1.52|331|64.2|64.5|6.60|2.37|63.7|0.52|2.57|6.7|81.1|0.93|2.4
Carlos Berlocq|64.3|65.9|48.2|1.37|307|59.6|59.8|6.50|2.63|56.7|0.68|3.21|7.9|70.6|1.39|3.4
Christian Saceanu|62.3|71.1|45.3|1.57|311|61.4|63.1|6.55|2.53|57.8|0.59|2.88|7.7|75.2|1.21|3.3
David Sanchez|61.3|64.9|47.5|1.37|299|58.1|58.6|6.66|2.79|56.6|0.73|3.38|8.3|68.3|1.47|3.6
Denis Istomin|65.3|71.0|51.0|1.39|334|64.1|62.4|6.37|2.29|61.7|0.54|2.64|6.7|79.5|1.01|2.6
Florent Serra|61.3|67.4|50.0|1.35|315|60.6|60.3|6.65|2.62|59.9|0.64|3.09|7.9|74.3|1.24|3.2
Francesco Cancellotti|66.4|60.1|43.8|1.37|277|54.6|54.6|5.95|2.70|46.7|0.75|3.33|7.5|60.0|1.78|4.0
Jaime Oncins|55.9|68.2|44.5|1.53|290|57.8|60.0|6.60|2.79|55.7|0.71|3.31|8.3|68.5|1.47|3.7
Jan Kroslak|60.9|68.9|44.2|1.56|306|59.2|61.1|6.85|2.79|60.4|0.70|3.30|8.3|72.3|1.31|3.3
Jeff Tarango|61.4|67.8|48.7|1.39|311|60.4|61.5|6.65|2.63|59.6|0.65|3.09|7.8|73.9|1.25|3.2
Jonathan Stark|59.4|76.2|49.2|1.55|335|65.2|64.0|6.47|2.25|61.4|0.47|2.29|5.7|81.9|0.89|2.2
Julian Alonso|55.0|67.7|47.7|1.42|297|58.7|60.4|6.66|2.75|56.7|0.68|3.23|7.9|70.6|1.40|3.4
Kelly Jones|66.1|65.7|43.8|1.50|307|58.3|59.0|6.77|2.83|60.7|0.74|3.21|7.8|70.9|1.26|3.1
Luis Horna|67.4|69.4|49.8|1.40|328|63.0|62.9|6.45|2.39|60.3|0.54|2.64|6.3|78.8|1.05|2.5
Marian Vajda|54.3|61.5|47.6|1.29|276|55.1|56.7|6.65|2.98|52.6|0.81|3.78|10.0|61.7|1.79|4.7
Martin Sinner|56.1|71.1|48.1|1.48|304|61.0|62.9|6.50|2.53|54.2|0.55|2.67|6.4|74.9|1.22|2.9
Nicolas Pereira|61.4|73.1|46.3|1.58|323|62.7|62.3|6.62|2.47|60.6|0.56|2.71|6.8|78.1|1.07|2.7
Olivier Rochus|61.3|66.4|51.7|1.29|311|60.7|61.9|6.53|2.57|59.0|0.64|3.02|7.8|73.8|1.24|3.2
Patrick Baur|56.5|69.9|49.7|1.41|313|61.1|61.7|6.65|2.58|60.6|0.64|3.09|7.5|74.8|1.22|3.0
Rajeev Ram|60.6|72.9|48.6|1.50|326|63.3|62.0|6.43|2.36|59.4|0.53|2.58|6.5|78.6|1.05|2.6
Simon Youl|60.1|70.5|48.2|1.46|315|61.6|62.1|6.57|2.52|59.6|0.62|3.04|7.7|75.0|1.23|3.1
Stefano Pescosolido|52.1|71.0|47.5|1.50|299|59.7|60.9|6.64|2.67|56.0|0.63|3.05|7.7|72.4|1.34|3.4
Tomas Carbonell|67.2|64.5|44.0|1.47|298|57.8|59.4|6.58|2.78|55.8|0.73|3.42|8.6|67.6|1.51|3.8
Yahiya Doumbia|55.3|72.2|52.1|1.38|326|63.2|63.9|6.63|2.44|63.0|0.49|2.35|5.4|81.8|0.87|2.0
Adrian Voinea|56.8|69.0|49.3|1.40|307|60.5|60.2|6.57|2.59|56.3|0.63|3.02|7.6|72.6|1.32|3.3
Alex Obrien|63.4|69.1|49.7|1.39|320|62.0|61.8|6.61|2.52|59.9|0.60|2.95|7.7|75.7|1.18|3.1
Andrey Golubev|58.8|68.2|49.8|1.37|311|60.6|61.2|6.58|2.59|58.8|0.63|3.00|7.3|74.0|1.24|3.0
Arnaud Di Pasquale|63.2|64.9|48.4|1.34|299|58.8|60.5|6.58|2.71|54.6|0.66|3.17|8.1|69.8|1.44|3.7
Diego Perez|60.6|61.5|48.4|1.27|286|56.4|57.1|6.72|2.93|52.3|0.76|3.46|9.1|63.8|1.65|4.4
Horacio Zeballos|62.3|70.8|51.4|1.38|330|63.5|62.7|6.46|2.36|62.2|0.55|2.72|6.7|79.4|1.03|2.5
Jonathan Canter|53.3|69.4|48.4|1.43|303|59.6|59.6|6.76|2.74|56.5|0.58|2.95|7.8|74.5|1.29|3.4
Leander Paes|60.2|69.9|48.0|1.46|311|61.2|62.5|6.57|2.55|57.9|0.58|2.77|6.8|75.6|1.17|2.8
Milan Srejber|59.8|72.2|47.7|1.51|318|62.4|63.2|6.30|2.37|58.3|0.56|2.67|6.0|76.7|1.11|2.5
Mischa Zverev|64.4|69.2|48.7|1.42|322|61.9|61.2|6.45|2.46|60.3|0.61|2.94|7.2|75.8|1.17|2.9
Pablo Arraya|61.2|65.5|47.9|1.37|301|58.7|58.9|6.62|2.74|55.5|0.67|3.18|8.1|70.4|1.42|3.6
Philipp Petzschner|55.4|74.0|49.8|1.49|321|63.2|62.3|6.41|2.35|58.6|0.52|2.51|6.6|78.4|1.04|2.7
Scott Draper|56.3|72.5|51.3|1.41|324|63.2|62.3|6.56|2.42|61.5|0.57|2.80|7.5|78.2|1.08|2.9
Sergio Casal|61.9|64.8|42.9|1.51|268|56.4|56.1|6.23|2.71|34.4|0.57|2.91|8.0|62.5|1.91|5.3
Shuzo Matsuoka|61.2|74.1|50.7|1.46|337|65.0|63.8|6.56|2.29|63.2|0.49|2.43|6.2|81.8|0.89|2.3
Thomas Hogstedt|51.8|68.1|46.8|1.46|288|57.8|58.4|6.54|2.76|52.7|0.69|3.18|7.4|67.5|1.50|3.5
Ulf Stenlund|79.2|61.3|45.5|1.35|297|58.0|59.0|6.24|2.62|45.0|0.59|2.50|5.0|67.6|1.38|2.8
Victor Hanescu|69.0|69.2|50.7|1.36|334|63.5|62.5|6.46|2.36|62.0|0.55|2.68|6.7|79.1|1.02|2.6
Wesley Moodie|68.9|73.5|51.3|1.43|351|66.6|64.3|6.33|2.11|63.2|0.44|2.21|5.5|83.8|0.81|2.0
Alexander Popp|62.4|69.5|47.9|1.45|313|61.4|63.1|6.41|2.47|59.1|0.62|2.90|8.0|74.8|1.19|3.3
Bart Wuyts|70.1|57.8|40.9|1.41|272|52.7|55.6|6.73|3.18|51.6|0.89|4.11|9.8|56.8|1.99|4.8
Christophe Rochus|60.8|63.9|46.9|1.36|290|57.3|58.5|6.59|2.82|53.9|0.73|3.41|8.3|66.1|1.57|3.8
Cristiano Caratti|63.7|64.2|47.7|1.35|298|58.2|59.6|6.64|2.78|55.4|0.70|3.28|8.4|69.0|1.46|3.7
Harel Levy|58.1|68.8|47.5|1.45|308|59.9|59.2|6.52|2.62|59.0|0.67|3.14|7.6|72.3|1.29|3.1
Henrik Holm|51.1|77.6|45.1|1.72|313|61.7|63.4|6.76|2.59|60.9|0.58|2.84|7.4|77.2|1.11|2.9
Hyeon Chung|62.4|70.3|50.7|1.39|319|62.9|63.5|6.28|2.33|57.0|0.52|2.47|6.3|77.4|1.06|2.7
Patrik Kuhnen|55.4|73.7|46.0|1.60|313|61.3|61.4|6.53|2.52|59.4|0.59|2.87|7.4|75.8|1.17|3.0
Thierry Champion|72.0|61.3|49.8|1.23|305|58.1|58.1|6.47|2.71|53.0|0.68|3.24|8.5|67.8|1.52|4.0
Vladimir Voltchkov|58.2|70.6|48.1|1.47|311|61.2|61.6|6.50|2.52|57.8|0.60|2.87|7.5|74.6|1.21|3.2
Alex Antonitsch|55.0|69.9|48.7|1.43|309|60.4|60.7|6.77|2.68|60.3|0.66|3.14|7.5|73.7|1.25|3.0
Alex Calatrava|59.0|70.9|48.7|1.46|319|61.8|60.3|6.41|2.45|60.0|0.61|2.92|7.4|75.5|1.17|3.0
Antony Dupuis|59.3|72.1|51.1|1.41|330|63.5|62.2|6.54|2.39|62.7|0.56|2.74|6.9|79.1|1.02|2.6
Benjamin Becker|56.6|74.5|49.7|1.50|325|63.8|62.3|6.33|2.29|59.0|0.51|2.47|6.1|79.3|1.01|2.5
Carsten Arriens|57.6|67.4|46.6|1.45|300|58.6|58.6|6.69|2.77|56.9|0.69|3.32|7.8|70.1|1.43|3.4
Christian Miniussi|58.8|66.9|47.8|1.40|297|59.0|60.1|6.61|2.71|54.8|0.67|3.27|8.2|69.7|1.48|3.7
Chuck Adams|64.3|69.4|51.4|1.35|326|63.0|62.8|6.50|2.41|59.9|0.53|2.60|6.4|78.7|1.04|2.6
Claudio Mezzadri|55.8|67.1|49.3|1.36|300|59.2|60.2|6.50|2.65|57.9|0.70|3.34|8.2|70.7|1.41|3.5
Claudio Pistolesi|67.0|62.3|49.0|1.27|304|57.9|58.1|6.59|2.77|57.1|0.74|3.37|8.9|68.2|1.45|3.8
Daniele Bracciali|52.9|74.1|50.5|1.47|323|63.0|61.7|6.52|2.41|61.0|0.54|2.63|6.8|78.9|1.02|2.7
Dimitri Poliakov|59.5|64.1|47.2|1.36|296|57.3|58.2|6.74|2.88|58.5|0.79|3.63|9.1|67.2|1.51|3.8
Eric Jelen|68.7|61.9|46.6|1.33|302|57.1|58.5|6.88|2.95|57.4|0.73|3.46|8.3|68.8|1.48|3.5
Frederic Fontang|64.8|59.0|44.9|1.31|280|54.1|54.8|6.87|3.16|52.2|0.84|3.94|9.3|59.8|1.88|4.4
Gabriel Markus|63.8|65.0|49.7|1.31|306|59.4|60.5|6.64|2.69|57.3|0.66|3.17|8.1|71.8|1.36|3.5
Gianluca Pozzi|48.1|71.5|48.7|1.47|299|59.7|59.7|6.56|2.64|57.4|0.66|3.08|7.9|72.1|1.31|3.3
Guillaume Raoux|53.2|72.7|51.4|1.41|318|62.8|62.9|6.58|2.45|60.1|0.55|2.67|6.6|78.0|1.06|2.6
Hernan Gumy|62.2|67.3|48.5|1.39|306|60.2|61.7|6.52|2.59|56.6|0.63|2.97|7.5|72.5|1.29|3.2
Hyung Taik Lee|63.1|67.9|52.0|1.31|318|62.0|62.1|6.37|2.42|58.0|0.58|2.80|7.3|75.7|1.17|3.0
Igor Kunitsyn|59.9|65.0|49.5|1.31|301|58.8|58.7|6.57|2.71|55.8|0.69|3.25|8.0|69.4|1.44|3.5
Ivan Dodig|58.7|72.5|49.4|1.47|325|62.9|61.4|6.43|2.38|60.0|0.56|2.70|6.8|77.7|1.08|2.7
Jan Vacek|57.6|69.1|48.7|1.42|308|60.5|60.7|6.57|2.60|57.6|0.63|2.98|7.7|73.2|1.27|3.3
Jared Palmer|60.8|69.8|49.4|1.41|320|61.8|63.0|6.80|2.60|62.5|0.61|2.98|8.0|77.1|1.12|3.0
Jeremy Bates|55.7|70.2|46.1|1.52|302|59.5|60.9|6.66|2.70|57.4|0.64|3.05|7.5|72.8|1.30|3.2
Jerome Haehnel|57.4|67.2|49.7|1.35|301|59.8|60.0|6.47|2.61|52.9|0.59|2.82|7.3|72.1|1.33|3.4
Jim Pugh|62.0|65.1|42.5|1.53|285|56.5|57.5|6.33|2.75|52.9|0.80|3.78|11.3|62.6|1.78|5.3
Jordi Burillo|52.7|71.7|46.0|1.56|301|59.5|59.3|6.57|2.66|55.9|0.64|3.02|7.4|71.6|1.33|3.3
Jose Francisco Altur|65.5|64.0|45.3|1.41|297|57.6|58.3|6.52|2.77|54.7|0.71|3.35|8.2|68.0|1.52|3.7
Juan Antonio Marin|56.7|63.9|47.5|1.34|288|56.8|57.7|6.70|2.89|55.7|0.78|3.65|8.5|65.5|1.62|3.8
Juan Balcells|71.4|68.2|52.8|1.29|342|63.8|63.0|6.43|2.33|65.1|0.56|2.79|7.0|80.3|0.97|2.4
Julien Boutter|55.4|73.8|48.5|1.52|322|62.5|63.4|6.55|2.45|62.5|0.59|2.93|7.5|77.7|1.10|2.8
Lars Burgsmuller|58.7|67.5|48.3|1.40|303|59.6|60.5|6.59|2.67|56.9|0.66|3.12|7.9|71.6|1.35|3.4
Leonardo Lavalle|63.1|67.9|47.5|1.43|306|60.4|61.0|6.54|2.59|55.3|0.63|3.09|7.6|71.7|1.38|3.4
Libor Pimek|53.7|63.1|41.1|1.54|246|52.9|58.0|6.60|3.11|43.5|0.84|3.54|7.7|52.7|2.00|4.3
Mark Koevermans|56.3|67.0|47.2|1.42|295|58.3|58.0|6.41|2.67|54.0|0.67|3.09|7.6|69.0|1.42|3.5
Markus Zoecke|64.1|72.2|49.7|1.45|334|64.1|62.9|6.50|2.33|62.1|0.52|2.52|6.3|80.4|0.96|2.4
Mauricio Hadad|63.0|62.6|48.9|1.28|298|57.5|58.6|6.65|2.83|56.1|0.71|3.38|8.4|68.7|1.48|3.7
Michal Tabara|52.5|66.3|47.9|1.39|286|57.6|59.4|6.50|2.76|53.6|0.71|3.29|8.3|67.2|1.52|3.9
Nduka Odizor|50.3|75.8|44.9|1.69|278|60.4|63.5|5.79|2.29|35.7|0.41|2.00|4.7|73.5|1.29|3.0
Neville Godwin|54.3|72.8|46.8|1.56|309|60.9|62.4|6.71|2.62|60.5|0.63|3.05|8.2|75.0|1.21|3.2
Nicklas Kroon|55.9|65.6|47.9|1.37|294|57.8|59.0|6.87|2.90|57.1|0.74|3.56|9.3|68.2|1.52|4.0
