name|1st Srv. Return Won %|2nd Srv. Return Won %|Return Rating|Return Points Won %|Rtn. In-play Pts. Won %|Points per Return Game|Pts. Won per Rtn. Game|Break Points Won %|BPs per Return Game|BPs per Set|BPs per Match|Return Games Won %|Rtn. Gms. Won per Set|Rtn. Gms. Won per Match
Jaime Oncins|33.7|53.2|157|41.5|40.9|6.71|2.79|40.9|0.72|3.43|8.6|29.5|1.40|3.5
Jan Kroslak|27.7|50.8|138|37.3|37.5|6.55|2.45|37.7|0.58|2.75|6.9|21.8|1.04|2.6
Jeff Tarango|29.2|51.6|147|38.6|39.8|6.61|2.55|41.3|0.61|2.89|7.3|25.0|1.19|3.0
Jonathan Stark|27.6|47.3|130|35.7|35.0|6.57|2.35|37.1|0.49|2.40|6.0|18.3|0.89|2.2
Julian Alonso|30.1|49.5|146|38.0|37.9|6.39|2.43|41.5|0.60|2.83|6.9|24.8|1.17|2.9
Kelly Jones|28.3|46.4|129|35.7|35.6|6.41|2.29|34.6|0.57|2.51|6.1|19.6|0.87|2.1
Luis Horna|26.8|47.9|132|35.1|36.3|6.29|2.21|38.4|0.50|2.46|5.9|19.3|0.95|2.2
Marian Vajda|33.8|51.8|157|40.8|41.0|6.55|2.67|43.0|0.66|3.07|8.1|28.5|1.32|3.5
Martin Sinner|26.4|48.6|132|35.3|36.5|6.45|2.28|38.3|0.49|2.39|5.7|18.8|0.92|2.2
Nicolas Pereira|26.5|46.3|122|34.1|33.8|6.48|2.21|34.0|0.46|2.25|5.7|15.6|0.77|1.9
Olivier Rochus|28.3|52.5|147|38.0|40.5|6.46|2.45|41.5|0.58|2.79|7.2|24.2|1.16|3.0
Patrick Baur|29.4|48.5|134|36.9|35.8|6.58|2.43|36.3|0.54|2.61|6.3|19.6|0.95|2.3
Rajeev Ram|25.5|43.8|120|32.8|33.2|6.11|2.00|35.6|0.41|2.07|5.2|14.7|0.74|1.9
Simon Youl|28.0|48.4|135|36.5|35.3|6.51|2.37|38.1|0.53|2.61|6.6|20.3|0.99|2.5
Stefano Pescosolido|29.5|49.4|142|37.5|37.5|6.51|2.44|39.6|0.59|2.84|7.1|23.4|1.12|2.8
Tomas Carbonell|33.6|52.7|160|41.3|41.1|6.61|2.73|43.9|0.69|3.21|8.1|30.1|1.41|3.6
Yahiya Doumbia|27.8|54.1|151|39.2|39.1|6.45|2.53|41.0|0.69|3.39|7.8|28.3|1.39|3.2
Adrian Voinea|28.9|49.6|142|37.6|37.3|6.52|2.45|40.5|0.56|2.66|6.7|22.5|1.08|2.7
Alex Obrien|26.1|49.7|134|35.9|36.2|6.47|2.32|38.6|0.51|2.49|6.5|19.7|0.96|2.5
Andrey Golubev|27.6|46.4|133|34.7|34.2|6.19|2.15|40.2|0.47|2.27|5.6|19.0|0.91|2.2
Arnaud Di Pasquale|31.7|50.5|152|39.3|38.8|6.50|2.56|43.3|0.62|2.89|7.4|26.7|1.25|3.2
Diego Perez|31.8|55.1|153|41.1|40.3|6.80|2.79|38.1|0.74|3.40|9.0|28.1|1.30|3.4
Horacio Zeballos|24.1|45.5|122|32.1|33.3|6.12|1.97|37.1|0.41|2.02|5.0|15.1|0.75|1.9
Jonathan Canter|25.9|50.7|121|36.1|34.5|6.72|2.42|29.4|0.50|2.43|6.4|14.7|0.71|1.9
Leander Paes|26.6|49.1|131|35.7|34.1|6.42|2.29|36.5|0.52|2.50|6.1|19.0|0.91|2.2
Milan Srejber|20.4|43.6|83|27.4|25.5|6.17|1.69|14.3|0.33|1.56|3.5|4.8|0.22|0.5
Mischa Zverev|29.0|47.5|135|35.9|36.1|6.41|2.30|38.5|0.51|2.49|6.1|19.6|0.96|2.4
Pablo Arraya|31.7|47.0|146|38.0|37.7|6.34|2.41|42.9|0.57|2.78|7.1|24.3|1.19|3.0
Philipp Petzschner|28.0|47.2|132|35.5|35.5|6.35|2.26|37.8|0.50|2.45|6.4|19.1|0.93|2.4
Scott Draper|26.4|47.9|130|35.1|34.8|6.48|2.28|37.8|0.47|2.31|6.2|17.8|0.87|2.3
Sergio Casal|31.7|54.2|147|39.0|39.6|6.59|2.57|35.9|0.70|3.55|9.8|25.0|1.27|3.5
Shuzo Matsuoka|26.6|48.3|133|35.3|34.4|6.41|2.26|39.3|0.47|2.32|6.0|18.6|0.91|2.3
Thomas Hogstedt|26.5|50.8|141|36.3|36.5|6.17|2.24|41.8|0.51|2.43|5.6|21.4|1.02|2.4
Ulf Stenlund|31.3|53.7|195|42.3|41.9|5.71|2.41|75.0|0.47|2.00|4.0|35.3|1.50|3.0
Victor Hanescu|27.9|47.9|133|35.6|35.8|6.37|2.27|37.8|0.51|2.48|6.2|19.2|0.94|2.3
Wesley Moodie|24.0|43.6|113|31.5|31.1|6.22|1.96|33.0|0.38|1.92|4.8|12.5|0.63|1.6
Alexander Popp|28.5|48.2|138|36.6|36.1|6.28|2.30|40.7|0.52|2.47|6.8|21.0|1.01|2.8
Bart Wuyts|34.6|54.3|166|42.7|44.0|6.68|2.85|43.9|0.75|3.49|8.3|33.1|1.53|3.7
Christophe Rochus|28.3|51.4|143|38.0|39.9|6.42|2.44|39.3|0.62|2.85|6.9|24.2|1.12|2.7
Cristiano Caratti|29.4|50.8|143|38.3|38.1|6.53|2.50|39.5|0.59|2.80|7.1|23.1|1.10|2.8
Harel Levy|28.1|48.5|137|36.4|36.0|6.33|2.31|39.6|0.52|2.48|6.0|20.6|0.98|2.4
Henrik Holm|31.0|47.7|140|37.8|36.3|6.55|2.47|39.3|0.56|2.72|7.1|21.9|1.07|2.8
Hyeon Chung|30.1|52.5|151|38.9|40.5|6.47|2.52|42.7|0.61|2.92|7.4|26.1|1.25|3.2
Patrik Kuhnen|27.4|49.6|138|36.3|36.7|6.44|2.34|40.0|0.51|2.48|6.4|20.5|0.99|2.5
Thierry Champion|31.6|51.1|151|39.4|39.7|6.52|2.57|42.2|0.63|2.98|7.8|26.4|1.26|3.3
Vladimir Voltchkov|26.1|50.4|132|36.0|36.6|6.42|2.31|36.0|0.54|2.59|6.7|19.4|0.93|2.4
Alex Antonitsch|29.5|48.3|140|37.1|36.6|6.45|2.39|40.4|0.54|2.60|6.3|22.0|1.05|2.5
Alex Calatrava|27.1|47.8|136|35.5|35.6|6.19|2.20|40.5|0.51|2.42|6.2|20.7|0.98|2.5
Antony Dupuis|25.2|46.5|123|34.0|33.9|6.31|2.14|34.9|0.46|2.28|5.7|15.9|0.79|2.0
Benjamin Becker|25.8|46.6|127|34.0|35.4|6.25|2.12|37.5|0.46|2.24|5.5|17.1|0.84|2.1
Carsten Arriens|31.7|49.8|152|39.1|38.2|6.41|2.51|43.6|0.61|2.89|6.8|26.6|1.26|3.0
Christian Miniussi|32.9|50.7|150|39.8|39.8|6.62|2.63|39.5|0.68|3.31|8.3|27.0|1.31|3.3
Chuck Adams|27.8|47.5|131|35.9|36.2|6.54|2.35|36.1|0.54|2.60|6.4|19.4|0.94|2.3
Claudio Mezzadri|30.7|50.8|146|38.9|38.1|6.57|2.56|40.2|0.60|2.85|7.0|24.0|1.15|2.8
Claudio Pistolesi|33.1|50.0|150|39.1|38.6|6.43|2.51|41.8|0.61|2.82|7.4|25.6|1.18|3.1
Daniele Bracciali|25.7|45.0|120|33.2|34.7|6.30|2.10|34.0|0.44|2.14|5.6|14.8|0.73|1.9
Dimitri Poliakov|33.5|50.9|152|40.8|40.4|6.73|2.75|39.4|0.71|3.26|8.2|27.8|1.29|3.2
Eric Jelen|31.6|47.3|144|37.6|37.2|6.41|2.41|41.8|0.56|2.62|6.3|23.2|1.10|2.6
Frederic Fontang|34.0|51.7|157|41.5|40.8|6.81|2.83|41.0|0.74|3.42|8.1|30.3|1.40|3.3
Gabriel Markus|30.7|52.4|152|39.0|38.6|6.50|2.54|43.2|0.59|2.89|7.4|25.6|1.25|3.2
Gianluca Pozzi|30.0|49.7|142|38.1|37.4|6.53|2.49|39.7|0.58|2.75|7.0|23.0|1.09|2.8
Guillaume Raoux|26.0|49.7|134|36.0|35.9|6.50|2.34|38.6|0.51|2.45|6.1|19.6|0.94|2.3
Hernan Gumy|30.8|52.4|153|39.5|39.1|6.54|2.58|42.8|0.63|2.97|7.5|26.8|1.27|3.2
Hyung Taik Lee|29.0|48.8|136|37.0|37.9|6.47|2.39|36.7|0.58|2.77|7.2|21.3|1.02|2.6
Igor Kunitsyn|28.1|50.7|140|37.2|38.1|6.40|2.38|39.2|0.56|2.65|6.5|21.8|1.04|2.6
Ivan Dodig|28.5|48.8|139|36.5|36.9|6.41|2.34|40.7|0.51|2.46|6.2|20.7|1.00|2.5
Jan Vacek|26.8|47.8|131|35.4|34.7|6.33|2.24|38.1|0.49|2.35|6.1|18.7|0.90|2.3
Jared Palmer|28.1|50.2|142|37.2|36.8|6.57|2.45|41.8|0.53|2.58|6.9|22.2|1.08|2.9
Jeremy Bates|27.1|50.3|136|36.2|36.1|6.48|2.35|38.4|0.53|2.58|6.4|20.4|0.99|2.4
Jerome Haehnel|24.9|46.0|121|33.3|33.9|6.18|2.06|35.0|0.43|2.09|5.4|15.2|0.73|1.9
Jim Pugh|26.4|53.1|138|36.7|34.7|6.54|2.40|37.6|0.54|2.58|7.8|20.5|0.97|2.9
Jordi Burillo|30.6|50.4|148|38.3|38.6|6.47|2.48|42.6|0.59|2.79|6.8|25.0|1.19|2.9
Jose Francisco Altur|30.0|48.0|138|36.8|35.3|6.35|2.34|38.8|0.55|2.63|6.4|21.2|1.02|2.5
Juan Antonio Marin|31.2|51.4|153|39.5|38.7|6.50|2.57|43.6|0.61|2.85|6.6|26.4|1.24|2.9
Juan Balcells|28.0|46.6|131|35.4|35.6|6.36|2.25|37.8|0.51|2.50|6.3|19.1|0.95|2.4
Julien Boutter|27.7|45.8|131|34.9|34.3|6.26|2.18|38.6|0.48|2.37|6.0|18.5|0.91|2.3
Lars Burgsmuller|28.9|49.9|141|37.6|37.3|6.45|2.42|40.2|0.54|2.56|6.5|21.7|1.03|2.6
Leonardo Lavalle|29.6|48.9|136|37.5|35.8|6.71|2.52|35.9|0.59|2.91|7.2|21.3|1.05|2.6
Libor Pimek|34.4|48.6|157|40.1|40.4|6.38|2.55|46.9|0.57|2.46|5.3|26.8|1.15|2.5
Mark Koevermans|33.2|47.6|146|38.6|38.7|6.45|2.49|40.0|0.62|2.86|7.1|24.7|1.14|2.8
Markus Zoecke|24.2|46.5|121|32.8|33.3|6.31|2.07|35.2|0.43|2.07|5.2|15.0|0.73|1.8
Mauricio Hadad|31.4|50.4|147|39.5|38.3|6.62|2.62|39.3|0.67|3.18|7.9|26.2|1.25|3.1
Michal Tabara|30.4|52.5|152|39.9|39.9|6.48|2.59|42.0|0.64|3.04|7.7|26.8|1.28|3.2
Nduka Odizor|28.4|40.2|101|32.7|32.4|6.56|2.15|23.1|0.38|1.86|4.3|8.8|0.43|1.0
Neville Godwin|27.0|50.2|140|36.7|36.1|6.47|2.37|41.1|0.52|2.57|6.9|21.5|1.05|2.8
Nicklas Kroon|29.0|44.8|129|35.0|35.9|6.32|2.21|37.8|0.46|2.27|6.0|17.5|0.86|2.3
Paolo Lorenzi|28.0|47.8|133|35.8|36.3|6.36|2.27|37.7|0.52|2.49|6.4|19.4|0.94|2.4
Peter Doohan|14.8|35.7|108|23.4|29.0|5.27|1.23|50.0|0.15|0.80|2.0|7.7|0.40|1.0
Peter Wessels|25.0|46.8|126|33.6|33.7|6.32|2.13|38.1|0.42|2.13|5.4|16.1|0.81|2.0
