name|1st Srv. Return Won %|2nd Srv. Return Won %|Return Rating|Return Points Won %|Rtn. In-play Pts. Won %|Points per Return Game|Pts. Won per Rtn. Game|Break Points Won %|BPs per Return Game|BPs per Set|BPs per Match|Return Games Won %|Rtn. Gms. Won per Set|Rtn. Gms. Won per Match
Wally Masur|28.5|49.1|138|36.9|36.9|6.57|2.43|39.3|0.54|2.64|6.9|21.4|1.04|2.7
Philipp Kohlschreiber|29.1|49.6|141|37.0|37.9|6.41|2.37|40.1|0.55|2.68|6.7|22.0|1.07|2.7
Jordi Arrese|33.9|54.3|164|41.8|41.3|6.56|2.75|44.0|0.72|3.47|8.5|31.8|1.52|3.7
Tim Wilkison|32.4|53.3|136|42.2|39.7|7.11|3.00|28.6|0.78|3.50|7.0|22.2|1.00|2.0
Paradorn Srichaphan|28.0|48.4|136|36.2|36.3|6.38|2.31|39.2|0.53|2.56|6.4|20.9|1.00|2.5
Jason Stoltenberg|31.5|50.7|150|39.4|38.4|6.67|2.63|41.5|0.62|2.95|7.6|25.9|1.22|3.1
Mark Woodforde|30.0|51.4|145|38.7|38.7|6.75|2.61|39.4|0.62|2.98|7.6|24.6|1.18|3.0
Alexandr Dolgopolov|29.2|49.3|140|37.1|37.7|6.40|2.37|39.6|0.55|2.68|6.7|21.9|1.06|2.7
Scott Davis|28.0|48.2|132|36.0|36.1|6.60|2.38|35.2|0.58|2.81|7.2|20.3|0.99|2.5
Max Mirnyi|26.9|44.4|123|33.3|32.9|6.32|2.10|36.0|0.44|2.18|5.5|15.8|0.79|2.0
Chris Woodruff|28.7|51.8|143|38.3|38.9|6.55|2.51|38.2|0.64|3.09|8.1|24.3|1.18|3.1
John Fitzgerald|29.4|51.8|145|39.0|38.2|6.66|2.60|39.4|0.61|2.86|7.1|23.9|1.13|2.8
Martin Klizan|28.7|50.6|144|37.1|37.9|6.30|2.34|41.4|0.56|2.72|7.0|23.3|1.12|2.9
Michael Llodra|27.2|46.5|127|34.5|34.8|6.35|2.19|36.4|0.47|2.26|5.6|17.0|0.82|2.0
Thierry Tulasne|29.6|52.3|128|35.5|36.1|6.50|2.31|30.8|0.50|2.17|4.3|15.4|0.67|1.3
Jan Siemerink|27.5|47.6|129|35.5|34.2|6.48|2.30|36.4|0.49|2.38|6.1|17.8|0.87|2.2
Arnaud Boetsch|30.1|51.9|149|39.4|38.9|6.67|2.62|40.8|0.63|3.02|7.4|25.7|1.23|3.0
Mariano Puerta|28.2|49.2|141|36.9|38.5|6.32|2.33|41.6|0.54|2.53|6.2|22.3|1.05|2.6
Mariano Zabaleta|31.3|49.3|144|38.5|38.3|6.56|2.53|39.0|0.63|3.08|7.7|24.7|1.20|3.0
Slobodan Zivojinovic|20.7|41.7|111|29.3|30.6|6.19|1.82|39.3|0.25|1.22|3.1|9.6|0.48|1.2
Todd Woodbridge|30.1|52.8|151|39.6|39.0|6.69|2.65|41.7|0.62|2.96|7.6|26.0|1.23|3.2
Goran Prpic|33.7|53.1|161|41.5|41.7|6.65|2.76|43.6|0.71|3.32|8.5|30.9|1.45|3.7
Dmitry Tursunov|27.3|49.3|137|36.0|37.1|6.31|2.27|39.8|0.51|2.46|6.4|20.2|0.98|2.6
Luiz Mattar|29.1|47.8|137|36.4|36.4|6.41|2.34|39.3|0.52|2.49|6.1|20.6|0.98|2.4
Albert Montanes|28.9|49.6|140|37.1|37.5|6.34|2.36|39.4|0.57|2.69|6.6|22.4|1.06|2.6
Javier Sanchez|31.7|50.0|147|38.9|38.4|6.59|2.56|40.4|0.62|2.99|7.4|25.2|1.21|3.0
