name|Aces|Ace %|Aces per Svc. Game|Aces per Set|Aces per Match|Double Faults|Double Fault %|DFs per 2nd Serve %|DFs per Svc. Game|DFs per Set|DFs per Match|Aces / DFs Ratio|Ace Against|Ace Against %|Double Faults Against|Double Fault Against %
Andy Murray|6280|8.7|0.55|2.59|6.9|2336|3.2|7.7|0.20|0.96|2.6|2.69|4580|6.1|2758|3.7
Alex Molcan|175|4.5|0.29|1.40|3.5|110|2.8|8.1|0.18|0.88|2.2|1.59|279|7.1|125|3.2
Corentin Moutet|214|2.7|0.18|0.87|2.3|303|3.9|12.1|0.25|1.23|3.3|0.71|470|6.0|276|3.5
Gael Monfils|6682|10.3|0.65|3.17|8.2|2928|4.5|12.0|0.29|1.39|3.6|2.28|2729|4.1|2148|3.2
David Goffin|2730|6.8|0.44|2.08|5.3|1746|4.4|10.4|0.28|1.33|3.4|1.56|3131|7.6|1551|3.8
Filip Krajinovic|1030|5.9|0.38|1.84|4.6|440|2.5|7.0|0.16|0.78|1.9|2.34|1806|10.4|664|3.8
Fabio Fognini|2411|4.1|0.27|1.27|3.3|2922|4.9|12.1|0.33|1.54|4.0|0.83|3557|6.1|2107|3.6
Marc Andrea Huesler|300|11.7|0.74|3.70|9.1|79|3.1|7.7|0.20|0.98|2.4|3.80|220|8.7|114|4.5
Jaume Munar|497|4.3|0.29|1.41|3.5|429|3.7|10.4|0.25|1.22|3.0|1.16|576|5.0|476|4.1
Aslan Karatsev|500|5.8|0.38|1.80|4.7|456|5.3|12.9|0.35|1.64|4.3|1.10|626|7.2|303|3.5
Benjamin Bonzi|330|7.8|0.50|2.50|6.2|118|2.8|6.9|0.18|0.89|2.2|2.80|398|9.6|174|4.2
Marcos Giron|572|6.2|0.41|2.01|5.2|212|2.3|5.9|0.15|0.74|1.9|2.70|713|8.0|335|3.8
Pedro Martinez Portero|219|2.8|0.19|0.90|2.3|334|4.2|12.3|0.28|1.37|3.5|0.66|636|8.4|272|3.6
Mackenzie Mcdonald|743|6.3|0.40|1.94|5.2|348|2.9|8.2|0.19|0.91|2.5|2.14|976|8.3|452|3.8
Quentin Halys|449|11.7|0.78|4.01|11.5|263|6.9|16.9|0.46|2.35|6.7|1.71|254|6.7|146|3.9
Jeffrey John Wolf|206|8.5|0.54|2.54|6.2|105|4.3|10.4|0.28|1.30|3.2|1.96|304|12.7|97|4.0
Daniel Elahi Galan Riveros|251|5.1|0.33|1.57|4.0|78|1.6|4.3|0.10|0.49|1.3|3.22|292|6.2|201|4.2
