name|Aces|Ace %|Aces per Svc. Game|Aces per Set|Aces per Match|Double Faults|Double Fault %|DFs per 2nd Serve %|DFs per Svc. Game|DFs per Set|DFs per Match|Aces / DFs Ratio|Ace Against|Ace Against %|Double Faults Against|Double Fault Against %
Simon Youl|314|5.3|0.35|1.71|4.3|242|4.1|10.2|0.27|1.32|3.3|1.30|262|4.5|244|4.2
Stefano Pescosolido|1034|5.4|0.36|1.73|4.4|1038|5.4|11.3|0.36|1.74|4.4|1.00|1243|6.7|748|4.0
Tomas Carbonell|824|3.4|0.23|1.06|2.7|1205|5.0|15.3|0.33|1.54|3.9|0.68|1182|4.9|915|3.8
Yahiya Doumbia|44|6.0|0.40|1.91|4.4|32|4.4|9.8|0.29|1.39|3.2|1.38|36|4.9|25|3.4
Adrian Voinea|1585|6.8|0.45|2.16|5.4|934|4.0|9.3|0.26|1.27|3.2|1.70|1541|6.7|1006|4.4
Alex Obrien|1020|5.5|0.36|1.77|4.6|580|3.1|8.5|0.21|1.01|2.6|1.76|1718|9.4|875|4.8
Andrey Golubev|679|5.5|0.36|1.72|4.2|534|4.3|10.5|0.29|1.36|3.3|1.27|567|4.8|386|3.3
Arnaud Di Pasquale|400|3.1|0.20|0.98|2.5|626|4.9|13.2|0.32|1.53|3.9|0.64|652|5.2|516|4.1
Diego Perez|114|2.8|0.19|0.86|2.3|140|3.5|8.8|0.23|1.06|2.8|0.81|158|3.8|161|3.9
Horacio Zeballos|1286|7.3|0.47|2.35|5.8|551|3.1|8.3|0.20|1.01|2.5|2.33|1776|10.6|595|3.6
Jonathan Canter|22|3.1|0.21|1.05|2.8|16|2.2|4.8|0.15|0.76|2.0|1.38|26|3.8|30|4.4
Leander Paes|444|4.8|0.31|1.51|3.7|463|5.0|12.5|0.33|1.57|3.8|0.96|480|5.3|468|5.2
Milan Srejber|28|10.3|0.65|3.11|7.0|20|7.4|18.3|0.47|2.22|5.0|1.40|10|3.9|10|3.9
Mischa Zverev|1650|6.5|0.42|2.02|5.0|728|2.9|8.1|0.19|0.89|2.2|2.27|1752|6.9|918|3.6
Pablo Arraya|126|4.5|0.30|1.42|3.6|98|3.5|9.0|0.23|1.10|2.8|1.29|147|5.3|102|3.7
Philipp Petzschner|1378|8.9|0.57|2.76|7.2|599|3.9|8.7|0.25|1.20|3.1|2.30|1047|6.8|584|3.8
Scott Draper|1535|7.8|0.51|2.53|6.8|656|3.3|7.6|0.22|1.08|2.9|2.34|1422|7.4|841|4.4
Shuzo Matsuoka|1523|9.3|0.61|3.00|7.7|560|3.4|8.8|0.22|1.10|2.8|2.72|877|5.5|690|4.3
Thomas Hogstedt|227|6.1|0.40|1.85|4.3|197|5.3|11.0|0.35|1.60|3.7|1.15|309|8.6|166|4.6
Victor Hanescu|1994|6.1|0.39|1.92|4.8|679|2.1|6.7|0.13|0.65|1.6|2.94|2198|6.8|1154|3.6
Wesley Moodie|1208|13.5|0.86|4.31|10.8|342|3.8|12.3|0.24|1.22|3.1|3.53|678|7.7|347|3.9
Alexander Popp|485|5.4|0.34|1.62|4.4|531|5.9|15.7|0.38|1.78|4.9|0.91|582|6.5|389|4.3
Bart Wuyts|35|0.5|0.04|0.17|0.4|361|5.7|18.9|0.38|1.75|4.2|0.10|399|6.3|164|2.6
Christophe Rochus|589|2.5|0.16|0.76|1.8|939|3.9|10.1|0.26|1.21|2.9|0.63|2628|11.4|1017|4.4
Cristiano Caratti|357|2.6|0.17|0.81|2.1|573|4.1|11.4|0.28|1.30|3.3|0.62|890|6.5|586|4.3
Harel Levy|497|5.4|0.35|1.63|3.9|245|2.6|6.3|0.17|0.80|1.9|2.03|594|6.5|402|4.4
Henrik Holm|1670|10.0|0.68|3.30|8.6|1404|8.4|17.2|0.57|2.77|7.2|1.19|468|2.9|643|4.0
Hyeon Chung|526|4.9|0.31|1.47|3.7|403|3.8|10.1|0.24|1.12|2.9|1.31|1095|9.9|444|4.0
Patrik Kuhnen|937|8.0|0.52|2.53|6.5|601|5.2|11.5|0.34|1.62|4.2|1.56|921|8.0|463|4.0
Thierry Champion|254|2.1|0.14|0.64|1.7|183|1.5|5.4|0.10|0.46|1.2|1.39|674|5.5|398|3.2
Vladimir Voltchkov|696|7.6|0.50|2.37|6.2|493|5.4|12.9|0.35|1.68|4.4|1.41|874|9.6|412|4.5
Alex Antonitsch|523|5.7|0.38|1.82|4.4|390|4.2|9.4|0.29|1.35|3.3|1.34|586|6.6|407|4.6
Alex Calatrava|1051|7.9|0.51|2.43|6.2|362|2.7|6.7|0.18|0.84|2.1|2.90|983|7.7|528|4.2
Antony Dupuis|1539|9.1|0.59|2.91|7.3|575|3.4|8.3|0.22|1.09|2.7|2.68|1486|9.0|785|4.7
Benjamin Becker|2838|10.2|0.64|3.14|7.7|1075|3.8|8.9|0.24|1.19|2.9|2.64|3054|11.0|1070|3.8
Carsten Arriens|201|4.3|0.29|1.38|3.2|141|3.0|7.1|0.20|0.97|2.3|1.43|196|4.4|183|4.1
Christian Miniussi|153|3.2|0.21|1.05|2.6|185|3.9|9.5|0.26|1.27|3.2|0.83|281|6.0|184|3.9
Chuck Adams|709|5.6|0.36|1.77|4.3|384|3.0|8.5|0.20|0.96|2.4|1.85|979|7.7|510|4.0
Claudio Mezzadri|212|3.7|0.24|1.15|2.8|236|4.1|9.3|0.27|1.28|3.1|0.90|257|4.4|231|4.0
Claudio Pistolesi|120|2.8|0.18|0.83|2.2|102|2.3|7.1|0.15|0.70|1.9|1.18|158|3.7|133|3.1
Daniele Bracciali|621|9.1|0.59|2.88|7.5|247|3.6|7.7|0.24|1.14|3.0|2.51|684|10.2|215|3.2
Dimitri Poliakov|146|2.6|0.18|0.82|2.1|196|3.6|8.8|0.24|1.10|2.8|0.74|280|5.1|228|4.1
Eric Jelen|49|1.8|0.12|0.58|1.4|99|3.6|11.5|0.25|1.18|2.8|0.49|106|4.2|80|3.2
Frederic Fontang|82|1.3|0.09|0.40|1.0|161|2.5|7.0|0.17|0.79|1.9|0.51|263|4.1|256|4.0
Gabriel Markus|198|2.1|0.14|0.68|1.7|293|3.1|8.7|0.21|1.00|2.6|0.68|434|4.7|334|3.6
Gianluca Pozzi|1518|5.1|0.33|1.57|4.0|1050|3.5|6.8|0.23|1.08|2.8|1.45|1552|5.2|1272|4.2
Guillaume Raoux|1821|6.1|0.40|1.96|4.9|1134|3.8|8.2|0.25|1.22|3.0|1.61|2379|8.2|1355|4.7
Hernan Gumy|633|3.6|0.24|1.11|2.8|810|4.7|12.3|0.30|1.43|3.6|0.78|841|4.8|653|3.7
